codigo_antiguo, codigo_nuevo
Sigestein,SIGESTEIN
Registro de Plantaciones de Viñedo,REGPLANVID
Registro de Sociedades Agrarias de Transformación de Canarias,REGSOCAGR
Alsigpac, ALSIGPAC
APP Móvil, APP_MOVIL_CAPGA
DeclaFito, DECLAFITO
Diamante, DIAMANTE
Fito, FITO
LicenciasPesca, LICENCIASPESCA
Plataforma de Interoperabildad CAGPA, INTEROP_CAGPA
RegistroProductores, REGISTROPRODUCTORES
Reintegros, REINTEGROS
Titulaciones Náuticas, TITULACIONES_NAUTICAS
TrabajoPalmeras, TRABAJO_PALMERAS
Adopciones, ADOPCIONES
Ayudas Directas, AYUDAS_DIRECTAS
Centros de Día, CENTROS_DIA
Centros de menores, CENTROS_MENORES
DatosBS, DATOSBS
Sidecan, SIDECAN
Discapacidad, DISCAPACIDAD
EntidadesBS, REG_ENTIDADES
Escuelas Infantiles, ESCUELAS_INFANTILES
Expedientes de Asesoría Jurídica, EXP_ASESORIA_JURIDICA
Expedientes Régimen Júridico, EXP_REGIMEN_JURIDICO
Familias Numerosas, EXP_FAMILIAS_NUMEROSAS
Fondos Europeos, FONDOS_EUROPEOS
Gestor de incidencias BS, GESTOR_INCIDENCIAS_BS
GPorta, GPORTA
Inmigración, INMIGRACION
Inspección de Centros, INSPECCION_CENTROS
Intercambio de Ficheros Ministerios, INTEROP_MINISTERIO
Justicia Juvenil, JUSTICIA_JUVENIL
Pensiones, EXP_PENSIONES
PersonalBS, PERSONAL_BS
SITA-RCC, SITA_RCC
Registro SIBS, REGISTRO_SIBS
Registro del Menor, REGISTRO_MENORES
Registro perros de asistencia, REG_PERROS_ASISTENCIA
Subvención ITC, SUBVENCIONES_ITC
SubvencionesBS, SUBVENCIONES_BS
E-SEMANTICA, E_SEMANTICA
E-OPERACIONES, E_OPERACIONES
MOODLE ACADEMIA DGSEOL, MOODLE_ACADEMIA_DGSEOL
FORMULARIO 3A SIRHUS, FORMULARIO_3A_SIRHUS
M4 PNet – NOMINA, M4_PNET_NOMINA
SIRHUS Personal, SIRHUS
ENTORNO DE TRABAJO COLABORATIVO Y MOODLE GESTION CONOCIMIENTO, ENTORNO_COLABORATIVO
eSPERIA, ESPERIA            
PUNTOS DE INFORMACION, PUNTOS_INFORMACION
AGENDA DE JUICIOS RAPIDOS, AGENDA_JUICIOS_RAPIDOS
AINOA (Cliente SAP), AINOA
ARCONTE AUREA, ARCONTE_AUREA
ARCONTE AUREA GESTION, ARCONTE_AUREA_GESTION
Atlante AJG, ATLANTE_AJG
ATLANTE WEB, ATLANTE_WEB
ATLANTE-INSIDE, ATLANTE_INSIDE
BOLSA INTERINOS JUSTICIA, BOLSA_INTERINOS_JUSTICIA
CITA PREVIA JUZGADOS, CITA_PREVIA_JUZGADOS
CONTROL HORARIO, CONTROL_HORARIO_JUSTICIA
CMI JUSTICIA, CMI_JUSTICIA
ESCRITORIO JUSTICIA, ESCRITORIO_JUSTICIA
FORMACIÓN JUSTICIA, FORMACION_JUSTICIA
INFORME BOLSA INTERINOS DGRAJ, INFORME_BOLSA_INTERINOS_JUSTICIA
INTEGRACION BOLSA INTERINOS PLATEA, INTEGRACION_BOLSA_INTERINOS_PLATEA
JUSTICIA GRATUITA, JUSTICIA_GRATUITA
LEXNET WEB, LEXNET_WEB
MEDFAMDGRAJ PUBLICA, MEDFAMDGRAJ_PUBLICA
MEDIACION FAMILIAR, MEDIACION_FAMILIAR
OFICINA DE ASISTENCIA A LAS VÍCTIMAS DEL DELITO, OFICINA_ASISTENCIA_VICTIMAS_DELITO
PUNTO NEUTRO JUDICIAL, PUNTO_NEUTRO_JUDICIAL
WEB INTERINOS DGRAJ, WEB_INTERINOS_JUSTICIA
SIGAP-PAC, SIGAP_PAC
PLANIFICACION SIGAP-PAC, PLANIFICACION_SIGAP-PAC
SIGESCA 2.0, SIGESCA_2
PAREJAS DE HECHO, REG_PAREJAS_HECHO
REGISTRO DE COLEGIOS PROFESIONALES, REG_COLEGIOS_PROFESIONALES
REGISTRO DE FUNDACIONES, REG_FUNDACIONES
SOLICITUDES DE ACCESO A LA INFORMACIÓN PÚBLICA (RSAIP), RSAIP
ELECCIONES 2019, ELECCIONES_2019
SITA-GOBABIERTO, SITA_GOBABIERTO
ELECCIONES 2023, ELECCIONES_2023
Contratación ICAP, CONTRATACION_ICAP
Homologaciones ICAP, HOMOLOGACIONES_ICAP
MOODLE ICAP, MOODLE_ICAP
AUTOVALORACION TASAS BOC, AUTOVALORACION_TASAS_BOC
COMISIONES SSGGTT, COMISIONES_SSGGTT
GEBOC USAD, GEBOC_USAD
LIBRO AZUL GESTION, LIBRO_AZUL
USUARIOS COMISIÓN SSGGTT, USUARIOS_COMISION_SSGGTT
PUBLICACION BOC, PUBLICACION_BOC
PROHIBIDOS DEL JUEGO, PROHIBIDOS_JUEGO
REGISTRO DEL JUEGO, REG_JUEGO
SERVICIOS ELECTRONICOS PARA LA GESTION DEL JUEGO, REG_JUEGO_PLATEA
ANIMALES DE COMPAÑÍA, REG_ANIMALES_DOM
SITA-RAV, SITA_RAV
SEDEe, SEDE_ELECTRONICA
SEDEp, SEDE_PRESENCIAL
SEDEep, SEDE_EMPLEADO_PUBLICO
PORTAL WEB, PORTAL_WEB
GESTION ACTIVIDAD TIC, GESTION_ACTIVIDAD_TIC
TRAFICO WEB, TRAFICO_WEB
GESTION CAMBIOS TIC, GESTION_CAMBIOS_TIC
INFO 012, INFO_012
INVENTARIO OCS, INVENTARIO_OCS
LINEAS TELECO, LINEAS_TELECO
SITA TERRITORIO, SITA_TERRITORIO
Redmine PTCTA, REDMINE_PTCTA
Sita-secura, SITA_SECURA
infoplayas, INFOPLAYAS
Hydros, HYDROS
RETAMA-IP,RETAMA_IP
EST-RECU, EST_RECU
DRAGO AE, DRAGO_AE
DRAGO FARMA, DRAGO_FARMA
Ceus, CEUS
OFICINA 2025 ENERGIAS RENOVABLES, OFICINA_2025_ENERGIAS_RENOVABLES
RedEXOS, REDEXOS
RedPromar, REDPROMAR
Red Vigía Canarias, RED_VIGIA
Banco de imágenes P.N. Timanfaya, BANCO_IMÁGENES_TIMANFAYA
Gami, GAMI
AbsysNet, ABSYSNET
Encuestas DGSP, ENCUESTAS_DGSP
Herramienta de anonimización, HERRAMIENTA_ANONIMIZACION
eCI, ECI
Gestión de Comisiones de Servicios, GEST_COMISIONES_SERVICIOS
Alta de Usuarios Comisiones de Servicios, ALTA_USUARIOS_COMISIONES_SERVICIOS
Escuela de Pacientes, ESCUELA_PACIENTES
Drago AC, DRAGO_AC
Drago Administrativo, DRAGO_ADMINISTRATIVO
Drago AE - Selene, DRAGO_SELENE
Drago AP, DRAGO_AP
ECG - Sistema de gestión de Electros, ECG
miSCS, MISCS
Drago IT, DRAGO_IT
Drago Dosis, DRAGO_DOSIS
DragoFARMA, DRAGO_FARMA
REC-SCS, RECETA_ELECTRONICA_SCS
RESNS, RECETA_ELECTRONICA_SNS
Retisalud, RETISALUD
Sistemas Dinámicos de Adquisición, oSISTEMAS_DINAMICOS_ADQUISICION
Cribado Neonatal, CRIBADO_NEONATAL
Sereno, SERENO
AccesoUnico, ACCESO_UNICO
Directorio Activo, DIRECTORIO_ACTIVO
Portal SCS, PORTAL_SCS
OBI GESCOT, OBI_GESCOT
PPCM-PACS, PPCM_PACS
PPCM-RIS, PPCM_RIS
REGOB / REOBEU, REGOB_REOBEU
Registro de Farmacias, REG_FARMACIAS
Gestiona, GESTIONA
3M-Ayuda a la codificación, 3M_AYUDA_CODIFICACION
DataAP, DATAAP
Margarita, MARGARITA
OBI PPAA, OBI_PPAA
Lista de Espera, LISTA_ESPERA
Autoliquidación, AUTOLIQUIDACION
Matadero, MATADERO_GC
Actas de Inspección, ACTAS_INSPECCION
Cartera de Servicios, CARTERA_SERVICIOS
Hipoacusia, HIPOACUSIA
M@GIN, MAGIN
SEDE ELECTRÓNICA ATC, SEDE_ELECTRONICA_ATC
SEFLOGIC Logística, SEFLOGIC_LOGISTICA
Cuadro de Mando Integrado de Turismo, CMI_Turismo


